id_event,datetime,country_code,event_code,day,month,year
1025931705,2022-01-31,US,46,31,1,2022
1025931706,2022-01-31,US,46,31,1,2022
1025931707,2022-01-31,US,112,31,1,2022
1025931708,2022-01-31,MX,36,31,1,2022
1025931709,2022-01-31,MX,186,31,1,2022
1025931710,2022-01-31,CI,186,31,1,2022
1025931711,2022-01-31,US,43,31,1,2022
1025931712,2022-01-31,US,43,31,1,2022
1025931713,2022-01-31,TH,40,31,1,2022
1025931714,2022-01-31,US,46,31,1,2022
1025931715,2022-01-31,CH,20,31,1,2022
1025931716,2022-01-31,US,20,31,1,2022
1025931717,2022-01-31,US,46,31,1,2022
1025931718,2022-01-31,MY,61,31,1,2022
1025931719,2022-01-31,US,14,31,1,2022
1025931720,2022-01-31,PK,43,31,1,2022
1025931721,2022-01-31,AF,43,31,1,2022
1025931722,2022-01-31,US,40,31,1,2022
1025931723,2022-01-31,FR,190,31,1,2022
1025931724,2022-01-31,FR,190,31,1,2022
1025931725,2022-01-31,VM,51,31,1,2022
1025931726,2022-01-31,VM,190,31,1,2022
1025931727,2022-01-31,RS,40,31,1,2022
1025931728,2022-01-31,RS,46,31,1,2022
1025931729,2022-01-31,RS,140,31,1,2022
1025931730,2022-01-31,UP,40,31,1,2022
1025931731,2022-01-31,US,14,31,1,2022
1025931732,2022-01-31,US,14,31,1,2022
1025931733,2022-01-31,US,20,31,1,2022
1025931734,2022-01-31,US,36,31,1,2022
1025931735,2022-01-31,US,36,31,1,2022
1025931736,2022-01-31,GM,36,31,1,2022
1025931737,2022-01-31,US,40,31,1,2022
1025931738,2022-01-31,US,40,31,1,2022
1025931739,2022-01-31,US,40,31,1,2022
1025931740,2022-01-31,AL,40,31,1,2022
1025931741,2022-01-31,US,40,31,1,2022
1025931742,2022-01-31,US,42,31,1,2022
1025931743,2022-01-31,US,42,31,1,2022
1025931744,2022-01-31,QA,42,31,1,2022
1025931745,2022-01-31,US,43,31,1,2022
1025931746,2022-01-31,US,43,31,1,2022
1025931747,2022-01-31,US,43,31,1,2022
1025931748,2022-01-31,US,43,31,1,2022
1025931749,2022-01-31,US,43,31,1,2022
1025931750,2022-01-31,US,43,31,1,2022
1025931751,2022-01-31,US,43,31,1,2022
1025931752,2022-01-31,US,43,31,1,2022
1025931753,2022-01-31,US,43,31,1,2022
1025931754,2022-01-31,US,46,31,1,2022
1025931755,2022-01-31,US,46,31,1,2022
1025931756,2022-01-31,US,46,31,1,2022
1025931757,2022-01-31,US,46,31,1,2022
1025931758,2022-01-31,US,46,31,1,2022
1025931759,2022-01-31,US,46,31,1,2022
1025931760,2022-01-31,US,46,31,1,2022
1025931761,2022-01-31,US,50,31,1,2022
1025931762,2022-01-31,US,51,31,1,2022
1025931763,2022-01-31,US,57,31,1,2022
1025931764,2022-01-31,,60,31,1,2022
1025931765,2022-01-31,US,84,31,1,2022
1025931766,2022-01-31,US,84,31,1,2022
1025931767,2022-01-31,US,1124,31,1,2022
1025931768,2022-01-31,US,173,31,1,2022
1025931769,2022-01-31,US,173,31,1,2022
1025931770,2022-01-31,US,173,31,1,2022
1025931771,2022-01-31,US,180,31,1,2022
1025931772,2022-01-31,US,180,31,1,2022
1025931773,2022-01-31,US,190,31,1,2022
1025931774,2022-01-31,US,190,31,1,2022
1025931775,2022-01-31,US,192,31,1,2022
1025931776,2022-01-31,US,10,31,1,2022
1025931777,2022-01-31,US,42,31,1,2022
1025931778,2022-01-31,US,112,31,1,2022
1025931779,2022-01-31,US,112,31,1,2022
1025931780,2022-01-31,US,173,31,1,2022
1025931781,2022-01-31,US,40,31,1,2022
1025931782,2022-01-31,US,40,31,1,2022
1025931783,2022-01-31,US,112,31,1,2022
1025931784,2022-01-31,US,40,31,1,2022
1025931785,2022-01-31,US,112,31,1,2022
1025931786,2022-01-31,US,36,31,1,2022
1025931787,2022-01-31,PK,161,31,1,2022
1025931788,2022-01-31,PK,40,31,1,2022
1025931789,2022-01-31,PK,40,31,1,2022
1025931790,2022-01-31,AF,40,31,1,2022
1025931791,2022-01-31,AF,10,31,1,2022
1025931792,2022-01-31,PK,143,31,1,2022
1025931793,2022-01-31,PK,154,31,1,2022
1025931794,2022-01-31,AF,154,31,1,2022
1025931795,2022-01-31,,10,31,1,2022
1025931796,2022-01-31,NI,81,31,1,2022
1025931797,2022-01-31,NI,84,31,1,2022
1025931798,2022-01-31,SF,190,31,1,2022
1025931799,2022-01-31,EG,42,31,1,2022
1025931800,2022-01-31,EG,42,31,1,2022
1025931801,2022-01-31,US,42,31,1,2022
1025931802,2022-01-31,US,43,31,1,2022
1025931803,2022-01-31,US,141,31,1,2022
1025931804,2022-01-31,US,100,31,1,2022
1025931805,2022-01-31,AL,40,31,1,2022
1025931806,2022-01-31,US,40,31,1,2022
1025931807,2022-01-31,AE,40,31,1,2022
1025931808,2022-01-31,IS,40,31,1,2022
1025931809,2022-01-31,AE,40,31,1,2022
1025931810,2022-01-31,YM,40,31,1,2022
1025931811,2022-01-31,AE,36,31,1,2022
1025931812,2022-01-31,YM,40,31,1,2022
1025931813,2022-01-31,RP,43,31,1,2022
1025931814,2022-01-31,RP,43,31,1,2022
1025931815,2022-01-31,IN,42,31,1,2022
1025931816,2022-01-31,US,111,31,1,2022
1025931817,2022-01-31,US,180,31,1,2022
1025931818,2022-01-31,AS,141,31,1,2022
1025931819,2022-01-31,AS,43,31,1,2022
1025931820,2022-01-31,US,180,31,1,2022
1025931821,2022-01-31,UK,111,31,1,2022
1025931822,2022-01-31,US,173,31,1,2022
1025931823,2022-01-31,US,173,31,1,2022
1025931824,2022-01-31,US,173,31,1,2022
1025931825,2022-01-31,US,173,31,1,2022
1025931826,2022-01-31,US,180,31,1,2022
1025931827,2022-01-31,US,180,31,1,2022
1025931828,2022-01-31,AS,141,31,1,2022
1025931829,2022-01-31,BE,90,31,1,2022
1025931830,2022-01-31,UK,43,31,1,2022
1025931831,2022-01-31,UK,43,31,1,2022
1025931832,2022-01-31,UK,46,31,1,2022
1025931833,2022-01-31,UK,46,31,1,2022
1025931834,2022-01-31,TZ,112,31,1,2022
1025931835,2022-01-31,BR,112,31,1,2022
1025931836,2022-01-31,MZ,181,31,1,2022
1025931837,2022-01-31,BR,181,31,1,2022
1025931838,2022-01-31,US,10,31,1,2022
1025931839,2022-01-31,ID,10,31,1,2022
1025931840,2022-01-31,HU,10,31,1,2022
1025931841,2022-01-31,US,10,31,1,2022
1025931842,2022-01-31,US,10,31,1,2022
1025931843,2022-01-31,HU,40,31,1,2022
1025931844,2022-01-31,US,42,31,1,2022
